#PPL;Cedula;Nombres;Edad(Anios);Pena(anios);Fecha(Ingreso)(d/m/a);Fecha(Salida)(d/m/a);Anios Restantes (pena);Pabellon;Celda;Clasificacion;Visitas semanales(Horas);Delito
PPL 1;6710851473;Carlos Sergio Torres Ramirez;57;44;03/10/1986;03/10/2030;6;1(A);A1;Alto;1;Homicidio
PPL 2;4746139915;Roberto Diego Guerrero Ramirez;61;45;15/11/1982;15/11/2027;3;1(A);A2;Alto;1;Narcotrafico
PPL 3;8997378852;Roberto Pablo Gonzales Sanchez;31;16;04/09/2013;04/09/2029;5;1(A);A3;Alto;1;Narcotrafico
PPL 4;2841479557;Roberto Diego Torres Roman;40;27;13/05/2003;13/05/2030;6;1(A);A4;Alto;1;Homicidio
PPL 5;2466568624;Dario Paulo Garcia Sanchez;26;19;18/10/2019;18/10/2038;14;1(A);A5;Alto;1;Homicidio
PPL 6;3728772794;Mario Cesar Gonzales Gomez;44;23;18/06/2003;18/06/2026;2;1(A);A6;Alto;1;Narcotrafico
PPL 7;7890523606;Fabian Paulo Romero Reyes;32;23;08/01/2015;08/01/2038;14;1(A);A7;Alto;1;Narcotrafico
PPL 8;6284655735;Victor Pablo Guerrero Roman;48;31;15/12/1996;15/12/2027;3;1(A);A8;Alto;1;Homicidio
PPL 9;4492866697;Gonzalo Antonio Torres Morales;49;30;22/06/2022;22/06/2052;28;1(A);A9;Alto;1;Homicidio
PPL 10;7443898748;Pedro Antonio Cevallos Sanchez;63;49;08/09/1981;08/09/2030;6;1(A);A10;Alto;1;Narcotrafico
PPL 11;4156084821;Roberto Antonio Paredes Rivera;49;33;21/11/1995;21/11/2028;4;1(A);A11;Alto;1;Narcotrafico
PPL 12;7991794962;Dario Sergio Guerrero Morales;46;7;12/08/2021;12/08/2028;4;1(A);A12;Alto;1;Homicidio
PPL 13;8300935140;Pedro Cesar Cevallos Ramirez;39;21;17/02/2007;17/02/2028;4;1(A);A13;Alto;1;Narcotrafico
PPL 14;2924353917;Pedro Sergio Garcia Sanchez;59;41;23/01/1987;23/01/2028;4;1(A);A14;Alto;1;Narcotrafico
PPL 15;3796291365;Victor Pablo Paredes Ramirez;44;28;29/04/2002;29/04/2030;6;1(A);A15;Alto;1;Narcotrafico
PPL 16;3965652391;Carlos Angel Torres Sanchez;41;19;18/04/2008;18/04/2027;3;1(A);A16;Alto;1;Narcotrafico
PPL 17;1830897754;Carlos Adrian Cevallos Reyes;45;29;01/01/1998;01/01/2027;3;1(A);A17;Alto;1;Homicidio
PPL 18;8128923256;Mario Sergio Cuenca Sanchez;38;25;06/05/2016;06/05/2041;17;1(A);A18;Alto;1;Homicidio
