#PPL;Cedula;Nombres;Edad(Anios);Pena(anios);Fecha(Ingreso)(d/m/a);Fecha(Salida)(d/m/a);Anios Restantes (pena);Pabellon;Celda;Clasificacion;Visitas semanales(Horas);Delito
PPL 441;6000461890;Mario Sergio Guerrero Gomez;53;35;10/05/1993;10/05/2028;4;4(D);D1;Bajo;4;Amenazas
PPL 442;3332738519;Fabian Pablo Cevallos Gomez;54;35;24/03/1991;24/03/2026;2;4(D);D2;Bajo;4;Otros
PPL 443;2643746234;Mario Antonio Paredes Sanchez;50;32;04/02/1995;04/02/2027;3;4(D);D3;Bajo;4;Amenazas
PPL 444;3786117850;Gonzalo Antonio Gonzales Hidalgo;48;30;02/08/1998;02/08/2028;4;4(D);D4;Bajo;4;Estafa
PPL 445;6531039960;Michael Diego Paredes Ramirez;55;40;09/01/1988;09/01/2028;4;4(D);D5;Bajo;4;Estafa
PPL 446;2331213850;Victor Cesar Cuenca Reyes;53;38;03/09/1990;03/09/2028;4;4(D);D6;Bajo;4;Amenazas
PPL 447;4754675831;Michael Pablo Cevallos Espinosa;60;45;21/08/1983;21/08/2028;4;4(D);D7;Bajo;4;Estafa
PPL 448;6525121946;Gonzalo Julian Torres Rivera;38;30;25/11/2023;25/11/2053;29;4(D);D8;Bajo;4;Amenazas
PPL 449;5135455915;Roberto Pablo Paredes Espinosa;43;8;30/09/2018;30/09/2026;2;4(D);D9;Bajo;4;Amenazas
PPL 450;3407474460;Roberto Cesar Cevallos Rivera;31;15;02/07/2014;02/07/2029;5;4(D);D10;Bajo;4;Estafa
PPL 451;4034396417;Michael Paulo Cuenca Ramirez;39;25;28/08/2006;28/08/2031;7;4(D);D11;Bajo;4;Otros
PPL 452;5604865195;Mario Diego Guerrero Sanchez;58;39;26/04/1988;26/04/2027;3;4(D);D12;Bajo;4;Invasion
PPL 453;1601449884;Pedro Pablo Perero Hidalgo;52;37;10/07/1991;10/07/2028;4;4(D);D13;Bajo;4;Amenazas
PPL 454;5658256162;Roberto Sergio Cevallos Ramirez;45;29;13/09/2001;13/09/2030;6;4(D);D14;Bajo;4;Otros
PPL 455;2991344500;Roberto Antonio Torres Reyes;40;23;22/01/2008;22/01/2031;7;4(D);D15;Bajo;4;Amenazas
PPL 456;3398059011;Gonzalo Antonio Cevallos Reyes;53;38;31/07/1992;31/07/2030;6;4(D);D16;Bajo;4;Otros
PPL 457;2262859034;Fabian Paulo Romero Espinosa;48;23;02/02/2004;02/02/2027;3;4(D);D17;Bajo;4;Amenazas
PPL 458;5721367211;Victor Paulo Perero Sanchez;57;41;10/10/1989;10/10/2030;6;4(D);D18;Bajo;4;Otros
PPL 459;7527588250;Victor Adrian Paredes Gomez;41;24;11/07/2003;11/07/2027;3;4(D);D19;Bajo;4;Invasion
PPL 460;1218429318;Mario Angel Gonzales Sanchez;55;40;09/12/1989;09/12/2029;5;4(D);D20;Bajo;4;Otros
